name,price,first_name,last_name,above_100
Kirk Hayden,148.2501795,Kirk,Hayden,148.2501795
Traci Kelley,41.56298339,Traci,Kelley,
Isabella Chen,129.6921072,Isabella,Chen,129.6921072
Melanie Salazar,292.8461055,Melanie,Salazar,292.8461055
Stephanie Lewis,76.43122945,Stephanie,Lewis,
Christopher Hensley,249.1556558,Christopher,Hensley,249.1556558
Terry Vincent,242.9859001,Terry,Vincent,242.9859001
Jason Alvarado,95.92027624,Jason,Alvarado,
Michelle Evans,257.2373034,Michelle,Evans,257.2373034
Dennis Benitez,87.11980487,Dennis,Benitez,
Troy Garcia,181.4054634,Troy,Garcia,181.4054634
Albert Davila,113.2109822,Albert,Davila,113.2109822
Candice Rivera,42.88132073,Candice,Rivera,
Cole Edwards,244.0779245,Cole,Edwards,244.0779245
Danielle Johnson,31.63041433,Danielle,Johnson,
Justin Ramirez,146.3464935,Justin,Ramirez,146.3464935
Elizabeth Griffith,205.7783782,Elizabeth,Griffith,205.7783782
Kristin Clay,260.3474682,Kristin,Clay,260.3474682
Joseph White,65.20753493,Joseph,White,
Marissa Holmes,59.40240228,Marissa,Holmes,
Michelle Hamilton,91.62237167,Michelle,Hamilton,
Christopher Alvarez,126.025264,Christopher,Alvarez,126.025264
Craig Hogan,136.7126938,Craig,Hogan,136.7126938
Melissa Castillo,281.1608076,Melissa,Castillo,281.1608076
Maria Williams,10.21292614,Maria,Williams,
Vanessa Thomas,20.58084145,Vanessa,Thomas,
Gary Obrien,53.39582051,Gary,Obrien,
Melissa Holt,252.2818438,Melissa,Holt,252.2818438
Eric Valenzuela,176.52775,Eric,Valenzuela,176.52775
Anthony Hardy,4.902725495,Anthony,Hardy,
Karen Johnson,49.41029242,Karen,Johnson,
Richard Hunt,249.7511997,Richard,Hunt,249.7511997
Karen Robertson,1.710967532,Karen,Robertson,
Adam Jones,56.93252133,Adam,Jones,
Jonathan Fuller,14.71921636,Jonathan,Fuller,
Jason Harris,151.4305855,Jason,Harris,151.4305855
Danielle Hill,179.8454001,Danielle,Hill,179.8454001
Seth Freeman,224.5526336,Seth,Freeman,224.5526336
Joseph Davis,97.09676869,Joseph,Davis,
Sonya Reyes,209.9855308,Sonya,Reyes,209.9855308
Michael Castro,243.1786308,Michael,Castro,243.1786308
Jonathan Collins,101.4620676,Jonathan,Collins,101.4620676
Eric Hayes,279.9732949,Eric,Hayes,279.9732949
Eric Moore,77.4205876,Eric,Moore,
Veronica Estes,270.8232516,Veronica,Estes,270.8232516
Timothy Aguilar,133.1135532,Timothy,Aguilar,133.1135532
Taylor Hunt,138.2042127,Taylor,Hunt,138.2042127
Michael Clarke,128.9532357,Michael,Clarke,128.9532357
Cheryl Morse,275.7612746,Cheryl,Morse,275.7612746
Jose Page,184.058919,Jose,Page,184.058919
Matthew Kramer,265.3917788,Matthew,Kramer,265.3917788
Regina Barrera,185.2134145,Regina,Barrera,185.2134145
Dr. Sean George,53.76304189,Dr.,Sean George,
Cody Hernandez,180.9265991,Cody,Hernandez,180.9265991
Hunter Smith,175.2181525,Hunter,Smith,175.2181525
Andrea Burke,256.3026305,Andrea,Burke,256.3026305
Elizabeth Patterson,290.1129725,Elizabeth,Patterson,290.1129725
Austin Rhodes,158.1182472,Austin,Rhodes,158.1182472
Maurice Thompson,224.1265422,Maurice,Thompson,224.1265422
Richard Martinez,86.96423972,Richard,Martinez,
Brian Hernandez,42.67025555,Brian,Hernandez,
Samantha Shields,149.8952175,Samantha,Shields,149.8952175
Joseph Walker,282.0494042,Joseph,Walker,282.0494042
Tracy Hernandez,215.0596081,Tracy,Hernandez,215.0596081
Vicki Fox,41.51250582,Vicki,Fox,
Louis Campos,277.9062585,Louis,Campos,277.9062585
Justin Scott,208.0660064,Justin,Scott,208.0660064
Megan Vaughn,289.9564106,Megan,Vaughn,289.9564106
Mary Hughes,15.21373926,Mary,Hughes,
Anita Fleming,58.24742383,Anita,Fleming,
Alyssa Melendez,273.6593194,Alyssa,Melendez,273.6593194
Joshua Foster,253.4093833,Joshua,Foster,253.4093833
Lisa Smith,203.9611381,Lisa,Smith,203.9611381
Kathy Lee,265.446304,Kathy,Lee,265.446304
Bethany Park,233.6891667,Bethany,Park,233.6891667
Joshua Butler,239.8213879,Joshua,Butler,239.8213879
Danielle Potter,204.5385362,Danielle,Potter,204.5385362
Kenneth Robinson,152.7840745,Kenneth,Robinson,152.7840745
Eric Pineda,111.0479315,Eric,Pineda,111.0479315
James Dorsey,68.90463624,James,Dorsey,
Michael Miller,129.6049475,Michael,Miller,129.6049475
Danielle Martinez,45.94938674,Danielle,Martinez,
Gary Young,212.2982372,Gary,Young,212.2982372
Lisa Decker,275.7158848,Lisa,Decker,275.7158848
Kayla Randolph,232.8220215,Kayla,Randolph,232.8220215
Peggy Thompson,124.4664752,Peggy,Thompson,124.4664752
Alex Cooper,170.205336,Alex,Cooper,170.205336
Joanne Wilson,229.6136723,Joanne,Wilson,229.6136723
Maria Adams,141.7128665,Maria,Adams,141.7128665
Julie Horton,276.5816247,Julie,Horton,276.5816247
Jeffrey Galvan,210.5061915,Jeffrey,Galvan,210.5061915
Christopher Johnson,268.63027,Christopher,Johnson,268.63027
Jennifer Arias,59.59468056,Jennifer,Arias,
Jocelyn Bell,84.95454821,Jocelyn,Bell,
Eric Brown,133.4007225,Eric,Brown,133.4007225
Devon Wright,29.21576875,Devon,Wright,
Rodney Robles,158.9838923,Rodney,Robles,158.9838923
Kara Austin,271.4672561,Kara,Austin,271.4672561
Jeffrey Tanner,203.7433126,Jeffrey,Tanner,203.7433126
Shaun Nunez,153.1987664,Shaun,Nunez,153.1987664
Daniel Mccall,143.271503,Daniel,Mccall,143.271503
Frank Owen,233.2015374,Frank,Owen,233.2015374
Beth Johnson,128.7923576,Beth,Johnson,128.7923576
Joshua Clark,190.9113668,Joshua,Clark,190.9113668
Gary Jones,52.3166247,Gary,Jones,
Nancy Brown,115.9584052,Nancy,Brown,115.9584052
Megan Roach,18.68239346,Megan,Roach,
Lucas Ross,221.1269463,Lucas,Ross,221.1269463
Jerry Tucker,29.95199198,Jerry,Tucker,
Timothy Robles,76.08225475,Timothy,Robles,
Christopher Goodwin,78.12233209,Christopher,Goodwin,
Philip Wilson,22.8431316,Philip,Wilson,
Carrie Davis,295.0481315,Carrie,Davis,295.0481315
Michael Daniel,229.951577,Michael,Daniel,229.951577
Bryan Valenzuela,236.1493796,Bryan,Valenzuela,236.1493796
Robin Garner,79.14737521,Robin,Garner,
Angel Thompson,284.7302014,Angel,Thompson,284.7302014
Christopher Morgan,216.0131402,Christopher,Morgan,216.0131402
Brittany Walker,163.1107737,Brittany,Walker,163.1107737
Shelby Mann,110.9021852,Shelby,Mann,110.9021852
Jodi Wells,44.01734436,Jodi,Wells,
Terri Gibson,92.36081224,Terri,Gibson,
Vanessa Hernandez,105.2534499,Vanessa,Hernandez,105.2534499
Maria Russell,114.1452708,Maria,Russell,114.1452708
Stacy Moses,126.6504703,Stacy,Moses,126.6504703
Amanda Schneider,288.471694,Amanda,Schneider,288.471694
Catherine Lopez,182.0171244,Catherine,Lopez,182.0171244
Amanda White,12.31889758,Amanda,White,
Karina Spencer,128.1490023,Karina,Spencer,128.1490023
Deborah Warren,139.7675022,Deborah,Warren,139.7675022
Erica Dixon,168.6031566,Erica,Dixon,168.6031566
Barbara Gray,140.7466665,Barbara,Gray,140.7466665
Deanna Watson,264.5411986,Deanna,Watson,264.5411986
Michael Cox,136.7864833,Michael,Cox,136.7864833
Amy Myers,92.16016851,Amy,Myers,
Patrick Hunter,170.4134515,Patrick,Hunter,170.4134515
Marvin Murphy,212.4152504,Marvin,Murphy,212.4152504
Janice Graves,223.7037682,Janice,Graves,223.7037682
Brooke Pierce,171.9383085,Brooke,Pierce,171.9383085
Adam Wells,280.2602417,Adam,Wells,280.2602417
Amanda Atkins,283.4268495,Amanda,Atkins,283.4268495
Gary Ruiz,132.504823,Gary,Ruiz,132.504823
Tina Wallace,72.91326395,Tina,Wallace,
Casey Oconnell,16.79606077,Casey,Oconnell,
Nancy Mendoza,281.3890295,Nancy,Mendoza,281.3890295
Luis Nguyen,34.19827441,Luis,Nguyen,
William Graves,111.5016422,William,Graves,111.5016422
Sean Brennan,269.2286668,Sean,Brennan,269.2286668
Matthew Sellers,53.50349547,Matthew,Sellers,
Dorothy Bradley,199.459603,Dorothy,Bradley,199.459603
Haley Flores,252.2914062,Haley,Flores,252.2914062
Melissa Johnson,32.70467677,Melissa,Johnson,
Samuel Tran,199.8864146,Samuel,Tran,199.8864146
Amanda Patterson,49.03325819,Amanda,Patterson,
Albert Roach,183.3743011,Albert,Roach,183.3743011
Jamie Huffman,36.83993962,Jamie,Huffman,
James Hamilton,265.6302103,James,Hamilton,265.6302103
Joseph Bird,18.06044758,Joseph,Bird,
Sarah Contreras,141.4141417,Sarah,Contreras,141.4141417
Joshua House,65.77031576,Joshua,House,
Tamara Molina,255.2535664,Tamara,Molina,255.2535664
Max Maxwell,240.0443014,Max,Maxwell,240.0443014
Jason Daniels,269.6365982,Jason,Daniels,269.6365982
Jordan Coleman,250.0974184,Jordan,Coleman,250.0974184
Jasmine Jones,33.93281405,Jasmine,Jones,
Jessica Garcia,231.8803086,Jessica,Garcia,231.8803086
Aaron George,138.812708,Aaron,George,138.812708
Chelsey Anderson,41.35053236,Chelsey,Anderson,
Rebecca Perez,146.2313884,Rebecca,Perez,146.2313884
Duane Thompson,75.06433497,Duane,Thompson,
Curtis Clayton,138.0563371,Curtis,Clayton,138.0563371
George Gonzalez,221.5737986,George,Gonzalez,221.5737986
Casey Ford,94.18806784,Casey,Ford,
Margaret Johnston,61.24599434,Margaret,Johnston,
Eric Mcclure,238.8775355,Eric,Mcclure,238.8775355
Nathan Taylor,4.820334075,Nathan,Taylor,
Kayla Parker,222.3600766,Kayla,Parker,222.3600766
Doris Obrien,206.9493221,Doris,Obrien,206.9493221
Brooke Taylor,34.74615015,Brooke,Taylor,
Kathryn Garrett,266.1885038,Kathryn,Garrett,266.1885038
John Cruz,205.1406652,John,Cruz,205.1406652
Christina Cannon,98.5941474,Christina,Cannon,
Susan Lewis,269.3323662,Susan,Lewis,269.3323662
Pamela Sanchez,193.7780783,Pamela,Sanchez,193.7780783
Stacey Wiley,200.3904296,Stacey,Wiley,200.3904296
Melissa Johnson,201.4509484,Melissa,Johnson,201.4509484
Lori Morris,38.0476094,Lori,Morris,
Daniel Soto,225.1621402,Daniel,Soto,225.1621402
Karl Davis,92.08925112,Karl,Davis,
Lisa Graves,122.8564118,Lisa,Graves,122.8564118
Eric Ray,178.344085,Eric,Ray,178.344085
Mark Garcia,229.2470277,Mark,Garcia,229.2470277
Allison Alvarez,275.3024614,Allison,Alvarez,275.3024614
Rachel Williams,44.81715456,Rachel,Williams,
Linda Mitchell,47.44468727,Linda,Mitchell,
David Shelton,158.7084813,David,Shelton,158.7084813
Vanessa Long,121.744973,Vanessa,Long,121.744973
Misty Martin,176.9310069,Misty,Martin,176.9310069
Daniel Gregory,132.8910493,Daniel,Gregory,132.8910493
Mitchell Jones,253.9716803,Mitchell,Jones,253.9716803
Dawn Scott,246.036131,Dawn,Scott,246.036131
Emily Horn,287.4666523,Emily,Horn,287.4666523
Catherine George,14.61491995,Catherine,George,
Hunter Carlson,218.0977601,Hunter,Carlson,218.0977601
Thomas Baldwin,275.4145594,Thomas,Baldwin,275.4145594
Amy Sellers,91.87350268,Amy,Sellers,
Alicia Clark,241.5859155,Alicia,Clark,241.5859155
Sara Lewis,158.863849,Sara,Lewis,158.863849
Ashley Lopez,77.89293291,Ashley,Lopez,
Terry Alvarado,161.9498178,Terry,Alvarado,161.9498178
Danielle Sandoval,83.13645641,Danielle,Sandoval,
Jesse Jones,214.8029616,Jesse,Jones,214.8029616
Lisa Hess,133.2037916,Lisa,Hess,133.2037916
Christina Mason,284.4863867,Christina,Mason,284.4863867
Mary Bell,32.08889594,Mary,Bell,
Martin Ramirez,1.10921244,Martin,Ramirez,
Stacy Smith,161.8260635,Stacy,Smith,161.8260635
Carla Rodriguez,113.1454481,Carla,Rodriguez,113.1454481
Johnny Stout,134.002236,Johnny,Stout,134.002236
Jennifer Rodriguez,256.0154481,Jennifer,Rodriguez,256.0154481
Michelle Thompson,196.6754605,Michelle,Thompson,196.6754605
Lisa Lyons,148.9559785,Lisa,Lyons,148.9559785
Michael Coleman,262.2090763,Michael,Coleman,262.2090763
Lindsey Williams,99.95620763,Lindsey,Williams,
Karen Hoffman,186.1046153,Karen,Hoffman,186.1046153
Jenny Jones,189.5577104,Jenny,Jones,189.5577104
Steven Knight,282.995761,Steven,Knight,282.995761
Michael Franklin,116.8742571,Michael,Franklin,116.8742571
Mason Ross,235.5549236,Mason,Ross,235.5549236
Terry Levine,151.5220714,Terry,Levine,151.5220714
Catherine Fletcher,36.59268024,Catherine,Fletcher,
Deanna Jones,196.9406069,Deanna,Jones,196.9406069
Christopher Mitchell,22.42047146,Christopher,Mitchell,
John Owens,191.4434257,John,Owens,191.4434257
Stephanie Davis,287.1991494,Stephanie,Davis,287.1991494
Joseph Ford,264.9354841,Joseph,Ford,264.9354841
Matthew Russell,141.2492947,Matthew,Russell,141.2492947
Danielle Burke,75.90363417,Danielle,Burke,
Stephanie Cunningham,220.9939809,Stephanie,Cunningham,220.9939809
Brian Proctor,263.6358197,Brian,Proctor,263.6358197
Michael Swanson,291.5713603,Michael,Swanson,291.5713603
Daniel Santos,49.26348169,Daniel,Santos,
April Hoffman,203.4855796,April,Hoffman,203.4855796
Stephanie Thomas,249.666722,Stephanie,Thomas,249.666722
Brianna Garcia,183.3322335,Brianna,Garcia,183.3322335
Shannon Berger,125.2597844,Shannon,Berger,125.2597844
Kathleen Mays,238.1656066,Kathleen,Mays,238.1656066
Michelle Park,150.4001203,Michelle,Park,150.4001203
Laura Reynolds,20.08924577,Laura,Reynolds,
Ashley Kaiser,218.399504,Ashley,Kaiser,218.399504
Reginald Owens,46.55328685,Reginald,Owens,
Michael Conway,84.09316114,Michael,Conway,
Sheila Pham,5.713231688,Sheila,Pham,
Christie Smith,70.21735457,Christie,Smith,
Allison Carroll,27.65684629,Allison,Carroll,
Donna Perez,187.3279401,Donna,Perez,187.3279401
Sierra Richmond,299.4492042,Sierra,Richmond,299.4492042
Steven Wallace,173.0025685,Steven,Wallace,173.0025685
Jeremy Thompson,106.6102612,Jeremy,Thompson,106.6102612
Jennifer Mccormick,142.7564741,Jennifer,Mccormick,142.7564741
Eric Garcia,27.56450393,Eric,Garcia,
Matthew Beasley,248.9927372,Matthew,Beasley,248.9927372
Jason Robinson,249.4550365,Jason,Robinson,249.4550365
Vicki Espinoza,285.9638855,Vicki,Espinoza,285.9638855
Steven Snyder,182.0351514,Steven,Snyder,182.0351514
Michelle Randolph,70.72106315,Michelle,Randolph,
Michelle Francis,10.01541777,Michelle,Francis,
Steven Baker,293.7505039,Steven,Baker,293.7505039
Zachary Johnson,36.97003142,Zachary,Johnson,
Marc Velasquez,174.3901749,Marc,Velasquez,174.3901749
John Carr,50.11746076,John,Carr,
Kimberly Castillo,243.873678,Kimberly,Castillo,243.873678
Jay Lopez,286.8001088,Jay,Lopez,286.8001088
Amanda Bridges,81.85722081,Amanda,Bridges,
Jessica Swanson,60.96199005,Jessica,Swanson,
Jose Gonzalez,77.84428182,Jose,Gonzalez,
Teresa Wright,67.20289619,Teresa,Wright,
Michael Gutierrez,185.8465011,Michael,Gutierrez,185.8465011
Hannah Marshall,251.8797929,Hannah,Marshall,251.8797929
Janice Davis,290.3767318,Janice,Davis,290.3767318
Jessica Crawford,254.2161442,Jessica,Crawford,254.2161442
Brian Bean,293.1768543,Brian,Bean,293.1768543
Edward Perez,217.694778,Edward,Perez,217.694778
Adam Miller,49.28081579,Adam,Miller,
Veronica Gray,140.9945255,Veronica,Gray,140.9945255
Linda Turner,238.5612942,Linda,Turner,238.5612942
Debra Roberts,69.38949206,Debra,Roberts,
David Sampson,77.05304682,David,Sampson,
Sarah Cochran,138.6132102,Sarah,Cochran,138.6132102
Regina Holland,151.2011694,Regina,Holland,151.2011694
Mario Ortiz,27.08442817,Mario,Ortiz,
Maria Gonzalez,164.6440389,Maria,Gonzalez,164.6440389
Albert Perez,163.1980752,Albert,Perez,163.1980752
Daisy Mccarthy,87.96439172,Daisy,Mccarthy,
Anna Leonard,75.54719134,Anna,Leonard,
Catherine Mosley,188.3490593,Catherine,Mosley,188.3490593
April Miranda,82.64651651,April,Miranda,
Michael Walker,288.9294858,Michael,Walker,288.9294858
Abigail Lam,255.3722151,Abigail,Lam,255.3722151
Alan Graham,92.78682106,Alan,Graham,
Jennifer Diaz,77.85479921,Jennifer,Diaz,
Sean Rogers,186.3926468,Sean,Rogers,186.3926468
Anthony Jackson,200.012596,Anthony,Jackson,200.012596
William Taylor,117.9694277,William,Taylor,117.9694277
Richard Robinson,200.9108703,Richard,Robinson,200.9108703
Nicholas Barnes,219.4003858,Nicholas,Barnes,219.4003858
Brittany Austin,233.7352503,Brittany,Austin,233.7352503
Robin Schmidt,96.69826813,Robin,Schmidt,
Kendra Monroe,226.0007767,Kendra,Monroe,226.0007767
Nancy Grant,23.79829866,Nancy,Grant,
Nicole Grant,155.9845125,Nicole,Grant,155.9845125
Courtney Thompson,52.85276041,Courtney,Thompson,
Jeanette Washington,291.525558,Jeanette,Washington,291.525558
James Yates,224.8736142,James,Yates,224.8736142
Justin Knox,115.9751733,Justin,Knox,115.9751733
Melissa Thompson,200.8616238,Melissa,Thompson,200.8616238
Steven Lee,140.357855,Steven,Lee,140.357855
Allison Fisher,231.493857,Allison,Fisher,231.493857
Mark Phillips,197.2517291,Mark,Phillips,197.2517291
Elijah Harrison,151.5804694,Elijah,Harrison,151.5804694
Paul Farley,9.419976358,Paul,Farley,
Jennifer Cole,47.39545601,Jennifer,Cole,
Michael Tucker,146.7478801,Michael,Tucker,146.7478801
David Steele,276.1640965,David,Steele,276.1640965
Monica Hodges,203.3130423,Monica,Hodges,203.3130423
Scott Wallace,23.24585982,Scott,Wallace,
Antonio Paul,93.39602908,Antonio,Paul,
Melissa Wright,68.62696415,Melissa,Wright,
Stephanie Price,27.22765203,Stephanie,Price,
Denise Kennedy,233.4665428,Denise,Kennedy,233.4665428
Melissa Walsh,177.8587959,Melissa,Walsh,177.8587959
Leslie Spence,156.2011959,Leslie,Spence,156.2011959
Dr. Rachel Walker,144.4395327,Dr.,Rachel Walker,144.4395327
Donald Horn,13.06347134,Donald,Horn,
Christopher Rojas,94.08806986,Christopher,Rojas,
Robert Crawford,216.6530778,Robert,Crawford,216.6530778
Larry Brown,174.1807324,Larry,Brown,174.1807324
Becky Swanson,245.854615,Becky,Swanson,245.854615
Gary Howard,25.93975342,Gary,Howard,
Christopher Marks,111.8467919,Christopher,Marks,111.8467919
Bonnie Alexander,136.6295853,Bonnie,Alexander,136.6295853
Brandon Stevens,77.20691708,Brandon,Stevens,
Lori Guerra,99.72772588,Lori,Guerra,
Michele Alvarado,243.9872024,Michele,Alvarado,243.9872024
Christine Lee,8.809339101,Christine,Lee,
Jamie Fry,159.7067216,Jamie,Fry,159.7067216
Christopher Perez,102.943584,Christopher,Perez,102.943584
Matthew Carter,194.2873257,Matthew,Carter,194.2873257
Jason Hunter,78.76406316,Jason,Hunter,
Tyler Henry,186.9624462,Tyler,Henry,186.9624462
Tiffany Harris,17.69659156,Tiffany,Harris,
Matthew Young,39.12254966,Matthew,Young,
Juan Brewer,152.9624792,Juan,Brewer,152.9624792
Mark Riggs,44.1758436,Mark,Riggs,
Brittany Stewart,273.5307309,Brittany,Stewart,273.5307309
Terry Davis,271.779368,Terry,Davis,271.779368
Jessica Oneill,157.5131207,Jessica,Oneill,157.5131207
Kimberly Ortiz,55.25093947,Kimberly,Ortiz,
Zoe Walls,248.8666069,Zoe,Walls,248.8666069
Sara Wallace,155.8794176,Sara,Wallace,155.8794176
Nicole Jenkins,291.5121227,Nicole,Jenkins,291.5121227
Austin Kelly,85.87572125,Austin,Kelly,
Sarah Knox,169.1586193,Sarah,Knox,169.1586193
Alison Carroll,115.3401313,Alison,Carroll,115.3401313
Robert Buchanan,163.3260388,Robert,Buchanan,163.3260388
Penny Wilson,178.7969799,Penny,Wilson,178.7969799
Leslie Perez,77.95375736,Leslie,Perez,
Brittney Marquez,149.1772445,Brittney,Marquez,149.1772445
Andrew Bird,265.9158101,Andrew,Bird,265.9158101
Maria Hughes,12.57040265,Maria,Hughes,
Clayton Williams,31.850547,Clayton,Williams,
Mary Pittman,92.02540242,Mary,Pittman,
James Garner,81.96609867,James,Garner,
Randy Middleton,117.0928987,Randy,Middleton,117.0928987
Alexis Gardner,83.35923458,Alexis,Gardner,
Laurie Garner,145.0603215,Laurie,Garner,145.0603215
Danny Bush,111.9976845,Danny,Bush,111.9976845
Joseph Smith,291.0800293,Joseph,Smith,291.0800293
Edgar Armstrong,185.9187088,Edgar,Armstrong,185.9187088
Samantha Scott,97.8742131,Samantha,Scott,
Troy Coleman,74.57492247,Troy,Coleman,
Brian Young,130.9974595,Brian,Young,130.9974595
Timothy Perez,113.6574668,Timothy,Perez,113.6574668
Sierra Nguyen,110.8481766,Sierra,Nguyen,110.8481766
Cynthia Murphy,296.0078137,Cynthia,Murphy,296.0078137
Julie Diaz,269.4894015,Julie,Diaz,269.4894015
Andrew Silva,46.15639765,Andrew,Silva,
Gary Costa,287.0365933,Gary,Costa,287.0365933
Jasmine Berg,127.1426355,Jasmine,Berg,127.1426355
Glenda Brown,85.60391824,Glenda,Brown,
Jonathan Boone,172.4624408,Jonathan,Boone,172.4624408
Cynthia Jimenez,51.80996198,Cynthia,Jimenez,
Cynthia Morgan,283.3294115,Cynthia,Morgan,283.3294115
Dwayne Browning,14.24525264,Dwayne,Browning,
Brittany Lewis,150.9075783,Brittany,Lewis,150.9075783
Zachary Johnson,139.6464165,Zachary,Johnson,139.6464165
Kayla Wilson,48.84395071,Kayla,Wilson,
Andrew Doyle,245.0864465,Andrew,Doyle,245.0864465
Jennifer Parks,12.79843948,Jennifer,Parks,
Daniel Phelps,176.735085,Daniel,Phelps,176.735085
Lindsey Quinn,57.57356582,Lindsey,Quinn,
Brian Walker,34.96349578,Brian,Walker,
Bradley Curry,104.0291615,Bradley,Curry,104.0291615
Roy Cohen,148.4924569,Roy,Cohen,148.4924569
David Black,148.4850266,David,Black,148.4850266
Julie Gonzales,275.8513843,Julie,Gonzales,275.8513843
Paula Williams,190.6605351,Paula,Williams,190.6605351
James Clark,117.5715047,James,Clark,117.5715047
Christopher Robinson,14.26584056,Christopher,Robinson,
William Carr,85.40738917,William,Carr,
Todd Dunlap,38.32006005,Todd,Dunlap,
Kimberly Morales,206.4438618,Kimberly,Morales,206.4438618
Jesse Welch,267.5034898,Jesse,Welch,267.5034898
Laura Leblanc,205.9617908,Laura,Leblanc,205.9617908
